Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48,
2,-4,1,3,3,-4,2,2,0,-2,5,1,-2,-3,0,3,0,3,4,1,-4,-4,0,-5,-1,-1,0,0,1,1,2,-3,-3,-1,-3,-2,5,-1,-1,-1,2,1,-1,0,-2,0,2,6,1
3,-5,0,2,3,-4,1,3,1,0,5,1,-2,-2,-2,2,-1,2,4,0,-4,-5,-1,-5,-2,-2,1,0,0,-1,2,-2,-3,3,-4,-2,2,-1,-2,0,2,1,-1,-2,-1,-1,3,7,1
