Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48
8,4,7,6,4,8,2,2,1,10,4,5,6,7,1,4,7,0,1,3,8,4,0,0,5,0,-3,0,2,-1,7,-4,-1,5,3,-1,4,1,0,0,1,0,-6,-5,0,3,4,-1
3,4,3,5,1,8,3,3,-3,9,3,3,2,4,2,3,4,0,0,3,5,4,1,-2,6,0,-3,0,2,-4,5,-5,0,3,-1,-4,3,-2,1,0,0,0,-5,-4,0,1,4,-3
