PTSD≈‰∂‘tºÏ—Èœ‘÷¯,PTSD≈‰∂‘tºÏ—Èœ‘÷¯«“’˝Ã¨,PTSD Wilcoxon∑˚∫≈÷»ºÏ—Èœ‘÷¯,HC≈‰∂‘tºÏ—Èœ‘÷¯,HC≈‰∂‘tºÏ—Èœ‘÷¯«“’˝Ã¨,HC Wilcoxon∑˚∫≈÷»ºÏ—Èœ‘÷¯
5.800000000000000000e+01,3.000000000000000000e+00,1.030000000000000000e+02,2.070000000000000000e+02,1.200000000000000000e+01,2.290000000000000000e+02
5.500000000000000000e+01,3.000000000000000000e+00,8.300000000000000000e+01,1.910000000000000000e+02,9.000000000000000000e+00,1.930000000000000000e+02
3.970000000000000000e+02,5.000000000000000000e+00,4.490000000000000000e+02,5.210000000000000000e+02,0.000000000000000000e+00,5.590000000000000000e+02
1.330000000000000000e+02,8.300000000000000000e+01,1.530000000000000000e+02,1.690000000000000000e+02,9.500000000000000000e+01,1.760000000000000000e+02
4.680000000000000000e+02,0.000000000000000000e+00,4.950000000000000000e+02,5.610000000000000000e+02,6.000000000000000000e+00,5.610000000000000000e+02
7.000000000000000000e+01,1.200000000000000000e+01,1.020000000000000000e+02,3.080000000000000000e+02,5.400000000000000000e+01,3.170000000000000000e+02
4.450000000000000000e+02,4.000000000000000000e+00,4.870000000000000000e+02,5.220000000000000000e+02,2.000000000000000000e+00,5.320000000000000000e+02
5.220000000000000000e+02,4.110000000000000000e+02,5.190000000000000000e+02,5.070000000000000000e+02,2.250000000000000000e+02,5.070000000000000000e+02
