独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著
1.900000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01
1.600000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01
1.400000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00
3.200000000000000000e+01,2.700000000000000000e+01,2.400000000000000000e+01
2.400000000000000000e+01,0.000000000000000000e+00,2.700000000000000000e+01
