独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著
4.300000000000000000e+01,2.000000000000000000e+00,3.300000000000000000e+01
5.300000000000000000e+01,7.000000000000000000e+00,4.000000000000000000e+01
4.700000000000000000e+01,0.000000000000000000e+00,3.200000000000000000e+01
4.500000000000000000e+01,2.500000000000000000e+01,3.900000000000000000e+01
5.100000000000000000e+01,0.000000000000000000e+00,4.200000000000000000e+01
