feature, period, PTSD_test_pvalue, HC_test_pvalue, t_p_value, mannwhitneyu_p_value
0.00000000000000,0.00000000000000,0.90030592679977,0.00176836492028,0.55282933766808,0.58689621903803
0.00000000000000,1.00000000000000,0.98752093315125,0.27130225300789,0.69975854128989,0.86755298861076
0.00000000000000,2.00000000000000,0.42567455768585,0.60072612762451,0.50384840963357,0.63209221179191
1.00000000000000,0.00000000000000,0.22046811878681,0.37360146641731,0.96783910517099,0.78380840806480
1.00000000000000,1.00000000000000,0.39037045836449,0.47085458040237,0.98574524804304,0.84222747705574
1.00000000000000,2.00000000000000,0.97927546501160,0.85892933607101,0.62918105287592,0.62445709430027
2.00000000000000,0.00000000000000,0.00003686689888,0.00008900758985,0.75776970471088,0.61686208556273
2.00000000000000,1.00000000000000,0.61432909965515,0.00059120048536,0.47520684134841,0.31962663762856
2.00000000000000,2.00000000000000,0.15596351027489,0.01248645503074,0.67839878926158,0.63209221179191
3.00000000000000,0.00000000000000,0.00138506677467,0.94477462768555,0.24730575247505,0.52907881555433
3.00000000000000,1.00000000000000,0.21405370533466,0.22876301407814,0.85877652012232,0.97854110105849
3.00000000000000,2.00000000000000,0.37659695744514,0.68609422445297,0.07021816266792,0.18392701914143
4.00000000000000,0.00000000000000,0.74504673480988,0.53019517660141,0.26417101006351,0.32488632606819
4.00000000000000,1.00000000000000,0.70395839214325,0.19856965541840,0.77450356853075,0.77555325298423
4.00000000000000,2.00000000000000,0.06321108341217,0.39763113856316,0.12951304170755,0.07497020596577
5.00000000000000,0.00000000000000,0.45013478398323,0.89161050319672,0.66369091274625,0.70249944341205
5.00000000000000,1.00000000000000,0.07329249382019,0.47056266665459,0.94208161694765,0.88451500342152
5.00000000000000,2.00000000000000,0.15724140405655,0.67127388715744,0.24721570058478,0.24743373438969
6.00000000000000,0.00000000000000,0.00778630049899,0.04149843379855,0.26337865810742,0.23448592324923
6.00000000000000,1.00000000000000,0.02143212221563,0.00024353119079,0.88293050945927,0.76732498991583
6.00000000000000,2.00000000000000,0.00879012979567,0.04094092920423,0.43907213643700,0.58689887928628
7.00000000000000,0.00000000000000,0.00148175167851,0.00145575054921,0.66522457534540,0.63209221179191
7.00000000000000,1.00000000000000,0.65646362304688,0.00311414082535,0.49545416281287,0.35761923323604
7.00000000000000,2.00000000000000,0.04019556939602,0.01109211891890,0.66930282863287,0.35761923323604
8.00000000000000,0.00000000000000,0.71968013048172,0.17523840069771,0.92288146530210,0.87602734545150
8.00000000000000,1.00000000000000,0.10786522924900,0.28500607609749,0.96912709931208,0.88451500342152
8.00000000000000,2.00000000000000,0.03579068928957,0.39644464850426,0.20793722908952,0.23448592324923
9.00000000000000,0.00000000000000,0.00100592745002,0.09985301643610,0.63730202003850,0.28408852526566
9.00000000000000,1.00000000000000,0.00183989305515,0.00002289107579,0.62616421117969,0.37470056228727
9.00000000000000,2.00000000000000,0.00000659836815,0.00000161831304,0.92802370265961,0.17281582893835
