组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,1239.0,884.0,1262.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,386.0,282.0,411.0,
dxy,356.0,257.0,352.0,
total,497.0,345.0,499.0,
组间不同通道连接显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
198,0.0,0.0,0.0,
199,1.0,1.0,1.0,
200,1.0,1.0,1.0,
201,2.0,0.0,2.0,
202,1.0,1.0,1.0,
203,1.0,1.0,1.0,
204,0.0,0.0,0.0,
205,5.0,3.0,3.0,
206,5.0,3.0,3.0,
207,0.0,0.0,0.0,
208,1.0,1.0,0.0,
209,1.0,1.0,0.0,
210,8.0,4.0,5.0,
211,1.0,1.0,1.0,
212,1.0,1.0,1.0,
213,0.0,0.0,0.0,
214,6.0,2.0,5.0,
215,6.0,2.0,5.0,
216,0.0,0.0,0.0,
217,2.0,1.0,1.0,
218,2.0,1.0,1.0,
219,0.0,0.0,0.0,
220,0.0,0.0,0.0,
221,0.0,0.0,0.0,
222,2.0,1.0,2.0,
223,1.0,0.0,0.0,
224,1.0,0.0,0.0,
225,0.0,0.0,0.0,
226,0.0,0.0,1.0,
227,0.0,0.0,1.0,
228,0.0,0.0,0.0,
229,2.0,1.0,2.0,
230,2.0,1.0,2.0,
231,6.0,4.0,6.0,
232,2.0,1.0,3.0,
233,2.0,1.0,3.0,
234,1.0,1.0,1.0,
235,0.0,0.0,0.0,
236,0.0,0.0,0.0,
237,4.0,2.0,4.0,
238,0.0,0.0,0.0,
239,0.0,0.0,0.0,
240,6.0,5.0,6.0,
241,0.0,0.0,0.0,
242,0.0,0.0,0.0,
243,1.0,0.0,1.0,
244,0.0,0.0,0.0,
245,0.0,0.0,0.0,
246,0.0,0.0,0.0,
247,2.0,1.0,2.0,
248,2.0,1.0,2.0,
249,1.0,1.0,0.0,
250,3.0,1.0,2.0,
251,3.0,1.0,2.0,
252,2.0,1.0,2.0,
253,2.0,0.0,0.0,
254,2.0,0.0,0.0,
255,2.0,2.0,1.0,
256,2.0,1.0,2.0,
257,2.0,1.0,2.0,
258,2.0,2.0,2.0,
259,2.0,1.0,1.0,
260,2.0,1.0,1.0,
261,0.0,0.0,0.0,
262,0.0,0.0,0.0,
263,0.0,0.0,0.0,
264,0.0,0.0,0.0,
265,1.0,0.0,1.0,
266,1.0,0.0,1.0,
267,1.0,1.0,0.0,
268,1.0,1.0,1.0,
269,1.0,1.0,1.0,
270,0.0,0.0,0.0,
271,1.0,1.0,1.0,
272,1.0,1.0,1.0,
273,1.0,1.0,1.0,
274,3.0,3.0,2.0,
275,3.0,3.0,2.0,
276,2.0,2.0,1.0,
277,5.0,3.0,5.0,
278,5.0,3.0,5.0,
279,1.0,1.0,0.0,
280,3.0,3.0,3.0,
281,3.0,3.0,3.0,
282,3.0,2.0,5.0,
283,1.0,1.0,1.0,
284,1.0,1.0,1.0,
285,6.0,6.0,7.0,
286,1.0,1.0,2.0,
287,1.0,1.0,2.0,
288,3.0,3.0,5.0,
289,1.0,1.0,1.0,
290,1.0,1.0,1.0,
291,0.0,0.0,0.0,
292,0.0,0.0,0.0,
293,0.0,0.0,0.0,
294,2.0,1.0,2.0,
295,1.0,0.0,0.0,
296,1.0,0.0,0.0,
297,0.0,0.0,1.0,
298,1.0,1.0,2.0,
299,1.0,1.0,2.0,
300,1.0,1.0,1.0,
301,0.0,0.0,0.0,
302,0.0,0.0,0.0,
303,0.0,0.0,0.0,
304,2.0,2.0,2.0,
305,2.0,2.0,2.0,
306,4.0,3.0,4.0,
307,0.0,0.0,1.0,
308,0.0,0.0,1.0,
309,0.0,0.0,0.0,
310,1.0,1.0,1.0,
311,1.0,1.0,1.0,
312,0.0,0.0,0.0,
313,0.0,0.0,0.0,
314,0.0,0.0,0.0,
315,0.0,0.0,0.0,
316,0.0,0.0,1.0,
317,0.0,0.0,1.0,
318,0.0,0.0,0.0,
319,0.0,0.0,0.0,
320,0.0,0.0,0.0,
321,2.0,1.0,3.0,
322,3.0,3.0,5.0,
323,3.0,3.0,5.0,
324,0.0,0.0,1.0,
325,1.0,1.0,2.0,
326,1.0,1.0,2.0,
327,0.0,0.0,0.0,
328,2.0,1.0,3.0,
329,2.0,1.0,3.0,
330,2.0,1.0,3.0,
331,0.0,0.0,1.0,
332,0.0,0.0,1.0,
333,0.0,0.0,1.0,
