组间总显著性,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
PSTD+HC,1239.0,884.0,1262.0,
组间不同血红蛋白显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
oxy,386.0,282.0,411.0,
dxy,356.0,257.0,352.0,
total,497.0,345.0,499.0,
组间不同通道连接显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
866,2.0,2.0,2.0,
867,0.0,0.0,0.0,
868,0.0,0.0,0.0,
869,0.0,0.0,0.0,
870,2.0,2.0,2.0,
871,1.0,1.0,0.0,
872,1.0,1.0,0.0,
873,0.0,0.0,0.0,
874,0.0,0.0,0.0,
875,0.0,0.0,0.0,
876,4.0,4.0,4.0,
877,1.0,0.0,1.0,
878,1.0,0.0,1.0,
879,2.0,2.0,1.0,
880,3.0,2.0,3.0,
881,3.0,2.0,3.0,
882,1.0,1.0,0.0,
883,2.0,0.0,2.0,
884,2.0,0.0,2.0,
885,2.0,1.0,1.0,
886,1.0,1.0,1.0,
887,1.0,1.0,1.0,
888,1.0,1.0,1.0,
889,4.0,4.0,2.0,
890,4.0,4.0,2.0,
891,1.0,1.0,1.0,
892,0.0,0.0,0.0,
893,0.0,0.0,0.0,
894,2.0,1.0,2.0,
895,2.0,1.0,2.0,
896,2.0,1.0,2.0,
897,0.0,0.0,0.0,
898,0.0,0.0,1.0,
899,0.0,0.0,1.0,
900,6.0,6.0,4.0,
901,0.0,0.0,0.0,
902,0.0,0.0,0.0,
903,1.0,1.0,1.0,
904,1.0,0.0,1.0,
905,1.0,0.0,1.0,
906,4.0,4.0,3.0,
907,0.0,0.0,0.0,
908,0.0,0.0,0.0,
909,0.0,0.0,0.0,
910,0.0,0.0,1.0,
911,0.0,0.0,1.0,
912,3.0,3.0,3.0,
913,0.0,0.0,0.0,
914,0.0,0.0,0.0,
915,0.0,0.0,1.0,
916,0.0,0.0,0.0,
917,0.0,0.0,0.0,
918,1.0,1.0,1.0,
919,1.0,1.0,1.0,
920,1.0,1.0,1.0,
921,0.0,0.0,0.0,
922,0.0,0.0,0.0,
923,0.0,0.0,0.0,
924,0.0,0.0,0.0,
925,0.0,0.0,0.0,
926,0.0,0.0,0.0,
927,1.0,0.0,3.0,
928,1.0,0.0,1.0,
929,1.0,0.0,1.0,
930,5.0,5.0,3.0,
931,1.0,1.0,2.0,
932,1.0,1.0,2.0,
933,3.0,1.0,3.0,
934,1.0,1.0,1.0,
935,1.0,1.0,1.0,
936,5.0,3.0,5.0,
937,0.0,0.0,0.0,
938,0.0,0.0,0.0,
939,1.0,1.0,1.0,
940,0.0,0.0,0.0,
941,0.0,0.0,0.0,
942,0.0,0.0,0.0,
943,2.0,0.0,1.0,
944,2.0,0.0,1.0,
945,0.0,0.0,0.0,
946,1.0,1.0,1.0,
947,1.0,1.0,1.0,
948,1.0,1.0,1.0,
949,2.0,2.0,2.0,
950,2.0,2.0,2.0,
951,2.0,2.0,2.0,
952,1.0,1.0,0.0,
953,1.0,1.0,0.0,
954,0.0,0.0,0.0,
955,1.0,1.0,2.0,
956,1.0,1.0,2.0,
957,1.0,1.0,1.0,
958,0.0,0.0,0.0,
959,0.0,0.0,0.0,
960,0.0,0.0,0.0,
961,1.0,1.0,1.0,
962,1.0,1.0,1.0,
963,0.0,0.0,0.0,
964,2.0,1.0,1.0,
965,2.0,1.0,1.0,
966,1.0,1.0,1.0,
967,1.0,1.0,1.0,
968,1.0,1.0,1.0,
969,2.0,0.0,2.0,
970,1.0,1.0,1.0,
971,1.0,1.0,1.0,
972,1.0,0.0,1.0,
973,0.0,0.0,0.0,
974,0.0,0.0,0.0,
975,0.0,0.0,0.0,
976,0.0,0.0,0.0,
977,0.0,0.0,0.0,
978,1.0,0.0,0.0,
979,1.0,0.0,2.0,
980,1.0,0.0,2.0,
981,2.0,1.0,2.0,
982,4.0,4.0,4.0,
983,4.0,4.0,4.0,
984,1.0,1.0,0.0,
985,1.0,1.0,1.0,
986,1.0,1.0,1.0,
987,5.0,4.0,4.0,
988,1.0,1.0,1.0,
989,1.0,1.0,1.0,
990,4.0,4.0,3.0,
991,2.0,2.0,3.0,
992,2.0,2.0,3.0,
993,0.0,0.0,0.0,
994,1.0,1.0,1.0,
995,1.0,1.0,1.0,
996,2.0,1.0,2.0,
997,1.0,0.0,0.0,
998,1.0,0.0,0.0,
999,0.0,0.0,0.0,
1000,1.0,1.0,1.0,
1001,1.0,1.0,1.0,
1002,4.0,2.0,5.0,
1003,1.0,0.0,0.0,
1004,1.0,0.0,0.0,
1005,0.0,0.0,0.0,
1006,1.0,1.0,1.0,
1007,1.0,1.0,1.0,
1008,0.0,0.0,0.0,
1009,3.0,2.0,1.0,
1010,3.0,2.0,1.0,
1011,0.0,0.0,0.0,
1012,1.0,1.0,2.0,
1013,1.0,1.0,2.0,
1014,1.0,1.0,1.0,
1015,1.0,1.0,1.0,
1016,1.0,1.0,1.0,
1017,0.0,0.0,0.0,
1018,3.0,3.0,3.0,
1019,3.0,3.0,3.0,
1020,0.0,0.0,0.0,
1021,1.0,1.0,0.0,
1022,1.0,1.0,0.0,
1023,1.0,1.0,1.0,
1024,2.0,2.0,0.0,
1025,2.0,2.0,0.0,
1026,1.0,0.0,2.0,
1027,0.0,0.0,0.0,
1028,0.0,0.0,0.0,
1029,0.0,0.0,0.0,
1030,1.0,1.0,2.0,
1031,1.0,1.0,2.0,
1032,0.0,0.0,1.0,
1033,1.0,1.0,1.0,
1034,1.0,1.0,1.0,
1035,0.0,0.0,1.0,
1036,0.0,0.0,0.0,
1037,0.0,0.0,0.0,
1038,1.0,1.0,2.0,
1039,1.0,1.0,0.0,
1040,1.0,1.0,0.0,
1041,2.0,0.0,2.0,
1042,1.0,1.0,1.0,
1043,1.0,1.0,1.0,
1044,0.0,0.0,0.0,
1045,0.0,0.0,0.0,
1046,0.0,0.0,0.0,
1047,0.0,0.0,0.0,
1048,0.0,0.0,0.0,
1049,0.0,0.0,0.0,
1050,3.0,1.0,1.0,
1051,2.0,1.0,3.0,
1052,2.0,1.0,3.0,
1053,0.0,0.0,0.0,
1054,1.0,1.0,1.0,
1055,1.0,1.0,1.0,
1056,0.0,0.0,0.0,
1057,0.0,0.0,0.0,
1058,0.0,0.0,0.0,
1059,0.0,0.0,0.0,
1060,0.0,0.0,0.0,
1061,0.0,0.0,0.0,
1062,2.0,2.0,2.0,
1063,2.0,2.0,2.0,
1064,2.0,2.0,2.0,
1065,0.0,0.0,0.0,
1066,0.0,0.0,0.0,
1067,0.0,0.0,0.0,
1068,0.0,0.0,0.0,
1069,1.0,1.0,2.0,
1070,1.0,1.0,2.0,
1071,0.0,0.0,0.0,
1072,2.0,2.0,2.0,
1073,2.0,2.0,2.0,
1074,1.0,1.0,1.0,
1075,0.0,0.0,1.0,
1076,0.0,0.0,1.0,
1077,0.0,0.0,0.0,
1078,1.0,0.0,0.0,
1079,1.0,0.0,0.0,
1080,1.0,1.0,1.0,
1081,2.0,2.0,2.0,
1082,2.0,2.0,2.0,
1083,0.0,0.0,1.0,
1084,1.0,1.0,1.0,
1085,1.0,1.0,1.0,
1086,1.0,1.0,1.0,
1087,3.0,2.0,3.0,
1088,3.0,2.0,3.0,
1089,1.0,1.0,1.0,
1090,3.0,3.0,3.0,
1091,3.0,3.0,3.0,
1092,1.0,1.0,0.0,
1093,3.0,3.0,2.0,
1094,3.0,3.0,2.0,
1095,1.0,1.0,1.0,
1096,0.0,0.0,1.0,
1097,0.0,0.0,1.0,
1098,1.0,0.0,1.0,
1099,2.0,1.0,2.0,
1100,2.0,1.0,2.0,
1101,0.0,0.0,0.0,
1102,1.0,1.0,1.0,
1103,1.0,1.0,1.0,
1104,5.0,4.0,5.0,
1105,0.0,0.0,0.0,
1106,0.0,0.0,0.0,
1107,3.0,2.0,3.0,
1108,1.0,1.0,2.0,
1109,1.0,1.0,2.0,
1110,0.0,0.0,0.0,
1111,1.0,1.0,1.0,
1112,1.0,1.0,1.0,
1113,0.0,0.0,0.0,
1114,0.0,0.0,0.0,
1115,0.0,0.0,0.0,
1116,2.0,2.0,2.0,
1117,4.0,4.0,3.0,
1118,4.0,4.0,3.0,
1119,3.0,3.0,3.0,
1120,3.0,3.0,3.0,
1121,3.0,3.0,3.0,
1122,0.0,0.0,1.0,
1123,0.0,0.0,1.0,
1124,0.0,0.0,1.0,
1125,0.0,0.0,0.0,
1126,2.0,2.0,2.0,
1127,2.0,2.0,2.0,
1128,3.0,2.0,2.0,
组间不同任务阶段显著性分布,
类别,独立样本t检验显著,独立样本t检验显著且正态,Mann-Whitney U检验显著,
Resting,252.0,120.0,220.0,
Count1,183.0,145.0,172.0,
Speak,146.0,110.0,142.0,
Count2,164.0,138.0,183.0,
Listen,267.0,185.0,276.0,
Count3,227.0,186.0,269.0,
