PTSD≈‰∂‘tºÏ—Èœ‘÷¯,PTSD≈‰∂‘tºÏ—Èœ‘÷¯«“’˝Ã¨,PTSD Wilcoxon∑˚∫≈÷»ºÏ—Èœ‘÷¯,HC≈‰∂‘tºÏ—Èœ‘÷¯,HC≈‰∂‘tºÏ—Èœ‘÷¯«“’˝Ã¨,HC Wilcoxon∑˚∫≈÷»ºÏ—Èœ‘÷¯
1.250000000000000000e+02,1.300000000000000000e+01,2.320000000000000000e+02,3.840000000000000000e+02,9.000000000000000000e+00,4.190000000000000000e+02
1.520000000000000000e+02,1.900000000000000000e+01,2.330000000000000000e+02,3.810000000000000000e+02,1.800000000000000000e+01,3.890000000000000000e+02
8.410000000000000000e+02,2.000000000000000000e+00,1.055000000000000000e+03,1.212000000000000000e+03,0.000000000000000000e+00,1.401000000000000000e+03
2.580000000000000000e+02,1.510000000000000000e+02,2.920000000000000000e+02,2.580000000000000000e+02,1.160000000000000000e+02,2.790000000000000000e+02
1.329000000000000000e+03,0.000000000000000000e+00,1.359000000000000000e+03,1.380000000000000000e+03,3.000000000000000000e+00,1.440000000000000000e+03
1.520000000000000000e+02,3.800000000000000000e+01,2.140000000000000000e+02,5.480000000000000000e+02,9.300000000000000000e+01,6.070000000000000000e+02
1.052000000000000000e+03,0.000000000000000000e+00,1.247000000000000000e+03,1.330000000000000000e+03,4.000000000000000000e+00,1.438000000000000000e+03
1.428000000000000000e+03,1.008000000000000000e+03,1.425000000000000000e+03,1.365000000000000000e+03,5.790000000000000000e+02,1.374000000000000000e+03
