Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35,Ch36,Ch37,Ch38,Ch39,Ch40,Ch41,Ch42,Ch43,Ch44,Ch45,Ch46,Ch47,Ch48
-2.60629E-07,-7.93499E-08,-4.92059E-07,-4.2544E-07,-4.58397E-07,-8.39299E-08,5.65882E-08,-1.82369E-08,2.38694E-08,-9.97375E-08,-1.0129E-07,-3.83778E-07,-5.10777E-07,-2.80003E-07,-3.20561E-07,-4.46219E-08,-1.98054E-07,-5.40347E-08,-7.08316E-08,-6.17082E-08,-8.63616E-08,-8.63315E-08,1.56879E-08,-7.27542E-08,1.10814E-07,1.43754E-08,-8.35374E-08,2.33148E-08,-1.36369E-07,-1.08915E-07,2.39499E-08,-6.00521E-09,-3.62042E-07,-1.77194E-07,-1.82865E-07,-1.90498E-07,-1.19269E-07,-6.23061E-08,-9.24201E-08,-5.6046E-08,-6.95629E-08,-3.58412E-08,-6.99591E-08,-8.06832E-08,-2.78895E-08,-1.01594E-07,-8.13318E-08,-1.35616E-07
-8.16396E-08,3.10147E-08,-3.17252E-07,-4.00576E-07,-2.62789E-07,-1.45314E-07,-2.10546E-07,-2.44363E-08,-1.69774E-07,-1.13605E-07,-6.31217E-08,-2.96629E-07,-3.53972E-07,-2.71076E-07,-5.66341E-07,-2.45887E-07,-1.15702E-07,-8.87071E-08,-2.42071E-07,-6.4258E-08,-1.14591E-07,-8.46077E-08,-3.36308E-08,1.51091E-08,-8.47849E-08,-9.4313E-10,-9.31287E-08,-6.18106E-08,-1.19347E-07,-1.11912E-07,-2.23931E-07,-7.26278E-08,-4.2268E-07,-3.52354E-07,-2.54287E-07,-1.84855E-07,-1.49115E-07,-2.99293E-08,6.92382E-08,-5.6872E-09,4.30047E-08,-3.97309E-08,-7.90619E-08,-9.17026E-08,-7.56173E-08,-2.66348E-07,-8.69681E-08,-1.55453E-07
