PTSD配对t检验显著,PTSD配对t检验显著且正态,PTSD Wilcoxon符号秩检验显著,HC配对t检验显著,HC配对t检验显著且正态,HC Wilcoxon符号秩检验显著
3.300000000000000000e+01,2.000000000000000000e+00,6.000000000000000000e+01,1.550000000000000000e+02,1.500000000000000000e+01,1.770000000000000000e+02
3.600000000000000000e+01,0.000000000000000000e+00,5.900000000000000000e+01,1.350000000000000000e+02,8.000000000000000000e+00,1.510000000000000000e+02
3.040000000000000000e+02,2.000000000000000000e+00,3.370000000000000000e+02,3.930000000000000000e+02,1.000000000000000000e+00,4.150000000000000000e+02
8.700000000000000000e+01,5.600000000000000000e+01,1.040000000000000000e+02,1.090000000000000000e+02,5.700000000000000000e+01,1.160000000000000000e+02
3.660000000000000000e+02,9.000000000000000000e+00,3.810000000000000000e+02,4.260000000000000000e+02,6.000000000000000000e+00,4.200000000000000000e+02
4.900000000000000000e+01,5.000000000000000000e+00,7.600000000000000000e+01,2.120000000000000000e+02,4.600000000000000000e+01,2.270000000000000000e+02
