oxytype, roi, period1, period2, PTSDperiod1_test_pvalue, PTSDperiod2_test_pvalue, PTSD_p_value, PTSD_mannwhitneyu_p_value, HCperiod1_test_pvalue, HCperiod2_test_pvalue, HC_p_value, HC_mannwhitneyu_p_value
1.00000000000000,0.00000000000000,1.00000000000000,2.00000000000000,0.00002296574166,0.00001416203304,0.08316193012210,0.09818304609507,0.00130261329468,0.00643577706069,0.00813756631538,0.00032026836413
1.00000000000000,0.00000000000000,1.00000000000000,3.00000000000000,0.00002296574166,0.00373213412240,0.00131668264554,0.00003570038825,0.00130261329468,0.00012282353418,0.00059501103314,0.00012880257782
1.00000000000000,0.00000000000000,1.00000000000000,4.00000000000000,0.00002296574166,0.00006243481766,0.60518475249684,0.54219822958112,0.00130261329468,0.00050433643628,0.02887527690058,0.09658928540682
1.00000000000000,0.00000000000000,1.00000000000000,5.00000000000000,0.00002296574166,0.00002224136188,0.22020449376181,0.03558174613863,0.00130261329468,0.00635795807466,0.22758926800876,0.21189953340217
1.00000000000000,0.00000000000000,1.00000000000000,6.00000000000000,0.00002296574166,0.00204952037893,0.01676426548177,0.00385993253440,0.00130261329468,0.00001287741361,0.00077326194966,0.00009716973011
1.00000000000000,0.00000000000000,2.00000000000000,3.00000000000000,0.00001416203304,0.00373213412240,0.02892075215268,0.01101415511221,0.00643577706069,0.00012282353418,0.33325234823912,0.36935290505119
1.00000000000000,0.00000000000000,2.00000000000000,4.00000000000000,0.00001416203304,0.00006243481766,0.54820377153639,0.60831356234848,0.00643577706069,0.00050433643628,0.00001275034732,0.00000064349706
1.00000000000000,0.00000000000000,2.00000000000000,5.00000000000000,0.00001416203304,0.00002224136188,0.90411936096844,0.90008335094899,0.00643577706069,0.00635795807466,0.06852468029684,0.11718801563745
1.00000000000000,0.00000000000000,2.00000000000000,6.00000000000000,0.00001416203304,0.00204952037893,0.00516558352102,0.00026073306799,0.00643577706069,0.00001287741361,0.00000008428450,0.00000000147713
1.00000000000000,0.00000000000000,3.00000000000000,4.00000000000000,0.00373213412240,0.00006243481766,0.00504607523371,0.00385993253440,0.00012282353418,0.00050433643628,0.00000000040497,0.00000000113198
