x,y,z,region
57,38,11,1
51,48,12,1
46,56,13,1
39,61,16,1
31,66,17,1
23,69,19,1
57,28,26,1
52,38,27,1
58,13,40,1
52,22,43,1
46,46,30,1
38,51,33,1
46,30,46,1
39,36,47,1
30,55,35,1
22,59,36,1
30,41,49,1
21,44,52,1
-51,42,12,2
-45,51,14,2
-38,59,14,2
-31,63,17,2
-21,68,19,2
-12,70,21,2
-50,34,27,2
-44,44,29,2
-50,22,40,2
-44,28,45,2
-37,51,31,2
-29,54,34,2
-36,34,47,2
-27,38,50,2
-19,57,37,2
-11,59,40,2
-18,42,53,2
-12,43,54,2
