oxytype, roi, period1, period2, PTSDperiod1_test_pvalue, PTSDperiod2_test_pvalue, PTSD_p_value, PTSD_mannwhitneyu_p_value, HCperiod1_test_pvalue, HCperiod2_test_pvalue, HC_p_value, HC_mannwhitneyu_p_value
1.00000000000000,0.00000000000000,1.00000000000000,2.00000000000000,0.00000000106112,0.31507459282875,0.13504199823772,0.16334008984268,0.02091673761606,0.00370568712242,0.04661232409583,0.02216617534157
1.00000000000000,0.00000000000000,1.00000000000000,3.00000000000000,0.00000000106112,0.01317413430661,0.16339463956643,0.31757172010839,0.02091673761606,0.27664226293564,0.37843386935623,0.51336550983706
1.00000000000000,0.00000000000000,1.00000000000000,4.00000000000000,0.00000000106112,0.00024564733030,0.32321265531324,0.46776260342449,0.02091673761606,0.00788843538612,0.07368661034313,0.11174675200073
1.00000000000000,0.00000000000000,1.00000000000000,5.00000000000000,0.00000000106112,0.00023497010989,0.36662533139116,0.73521731235087,0.02091673761606,0.00010721522995,0.23491819367686,0.22061585763049
1.00000000000000,0.00000000000000,1.00000000000000,6.00000000000000,0.00000000106112,0.00026827611146,0.27388364667523,0.49194561038166,0.02091673761606,0.00000108058919,0.01605811048889,0.00847430320823
1.00000000000000,0.00000000000000,2.00000000000000,3.00000000000000,0.31507459282875,0.01317413430661,0.58655440186498,0.51676452346146,0.00370568712242,0.27664226293564,0.12849660595184,0.21622673309719
1.00000000000000,0.00000000000000,2.00000000000000,4.00000000000000,0.31507459282875,0.00024564733030,0.27563529971325,0.29895722027868,0.00370568712242,0.00788843538612,0.24587760237661,0.38190151335232
1.00000000000000,0.00000000000000,2.00000000000000,5.00000000000000,0.31507459282875,0.00023497010989,0.21689939664352,0.21665488090366,0.00370568712242,0.00010721522995,0.07277199015108,0.23879677083414
1.00000000000000,0.00000000000000,2.00000000000000,6.00000000000000,0.31507459282875,0.00026827611146,0.10465313756148,0.09416095819324,0.00370568712242,0.00000108058919,0.19496898292821,0.54370919156440
1.00000000000000,0.00000000000000,3.00000000000000,4.00000000000000,0.01317413430661,0.00024564733030,0.58305258182940,0.96148693654686,0.27664226293564,0.00788843538612,0.29775254477882,0.32744430846742
1.00000000000000,0.00000000000000,3.00000000000000,5.00000000000000,0.01317413430661,0.00023497010989,0.50652764462236,0.63570081070065,0.27664226293564,0.00010721522995,0.78662708516474,0.75944106681368
1.00000000000000,0.00000000000000,3.00000000000000,6.00000000000000,0.01317413430661,0.00026827611146,0.41931762317028,0.70625257492065,0.27664226293564,0.00000108058919,0.21922658956939,0.44839258659033
1.00000000000000,0.00000000000000,4.00000000000000,5.00000000000000,0.00024564733030,0.00023497010989,0.96921880723443,0.62194362375885,0.00788843538612,0.00010721522995,0.45787497086057,0.86696521461067
1.00000000000000,0.00000000000000,4.00000000000000,6.00000000000000,0.00024564733030,0.00026827611146,0.91440555947794,0.66358078736812,0.00788843538612,0.00000108058919,0.97437202390856,0.61501790392504
1.00000000000000,0.00000000000000,5.00000000000000,6.00000000000000,0.00023497010989,0.00026827611146,0.83174023249185,0.39920520968735,0.00010721522995,0.00000108058919,0.12836934329596,0.27819965899994
1.00000000000000,1.00000000000000,1.00000000000000,2.00000000000000,0.00000012395205,0.34076097607613,0.31379539445647,0.32714959606528,0.00047333500697,0.16947910189629,0.42035670977553,0.24349927915432
1.00000000000000,1.00000000000000,1.00000000000000,3.00000000000000,0.00000012395205,0.97995096445084,0.16015368674919,0.28106469474733,0.00047333500697,0.00011412003369,0.58504982475370,0.99539158852372
1.00000000000000,1.00000000000000,1.00000000000000,4.00000000000000,0.00000012395205,0.00024816926452,0.43778065580089,0.94610125292093,0.00047333500697,0.34492689371109,0.86581182499184,0.83977490137272
1.00000000000000,1.00000000000000,1.00000000000000,5.00000000000000,0.00000012395205,0.00259769638069,0.08646243352114,0.20231117121875,0.00047333500697,0.06838413327932,0.73195704455252,0.72448426951826
1.00000000000000,1.00000000000000,1.00000000000000,6.00000000000000,0.00000012395205,0.18634559214115,0.20417730687970,0.33690759073943,0.00047333500697,0.10573878884315,0.51188695843387,0.34502023502785
1.00000000000000,1.00000000000000,2.00000000000000,3.00000000000000,0.34076097607613,0.97995096445084,0.99156633501744,0.99229460023344,0.16947910189629,0.00011412003369,0.25460868675039,0.38827071529079
1.00000000000000,1.00000000000000,2.00000000000000,4.00000000000000,0.34076097607613,0.00024816926452,0.53614345647476,0.14060599450022,0.16947910189629,0.34492689371109,0.35346959155279,0.42779862544251
1.00000000000000,1.00000000000000,2.00000000000000,5.00000000000000,0.34076097607613,0.00259769638069,0.50960342712167,0.62194362375885,0.16947910189629,0.06838413327932,0.48506979746824,0.42105581373016
1.00000000000000,1.00000000000000,2.00000000000000,6.00000000000000,0.34076097607613,0.18634559214115,0.78838577488043,0.63570081070065,0.16947910189629,0.10573878884315,0.48518402871789,0.59882647086806
1.00000000000000,1.00000000000000,3.00000000000000,4.00000000000000,0.97995096445084,0.00024816926452,0.50146707110535,0.42137710005045,0.00011412003369,0.34492689371109,0.60453392516549,0.69008147089346
1.00000000000000,1.00000000000000,3.00000000000000,5.00000000000000,0.97995096445084,0.00259769638069,0.36297471121219,0.44423428084701,0.00011412003369,0.06838413327932,0.27447113722448,0.59080244053939
1.00000000000000,1.00000000000000,3.00000000000000,6.00000000000000,0.97995096445084,0.18634559214115,0.75180579885100,0.74984101206064,0.00011412003369,0.10573878884315,0.21612615879859,0.25798754671496
