PTSD≈‰∂‘tºÏ—Èœ‘÷¯,PTSD≈‰∂‘tºÏ—Èœ‘÷¯«“’˝Ã¨,PTSD Wilcoxon∑˚∫≈÷»ºÏ—Èœ‘÷¯,HC≈‰∂‘tºÏ—Èœ‘÷¯,HC≈‰∂‘tºÏ—Èœ‘÷¯«“’˝Ã¨,HC Wilcoxon∑˚∫≈÷»ºÏ—Èœ‘÷¯
3.300000000000000000e+01,2.000000000000000000e+00,6.000000000000000000e+01,1.550000000000000000e+02,1.500000000000000000e+01,1.770000000000000000e+02
3.600000000000000000e+01,0.000000000000000000e+00,5.900000000000000000e+01,1.350000000000000000e+02,8.000000000000000000e+00,1.510000000000000000e+02
3.040000000000000000e+02,2.000000000000000000e+00,3.370000000000000000e+02,3.930000000000000000e+02,1.000000000000000000e+00,4.150000000000000000e+02
8.700000000000000000e+01,5.600000000000000000e+01,1.040000000000000000e+02,1.090000000000000000e+02,5.700000000000000000e+01,1.160000000000000000e+02
3.660000000000000000e+02,9.000000000000000000e+00,3.810000000000000000e+02,4.260000000000000000e+02,6.000000000000000000e+00,4.200000000000000000e+02
4.900000000000000000e+01,5.000000000000000000e+00,7.600000000000000000e+01,2.120000000000000000e+02,4.600000000000000000e+01,2.270000000000000000e+02
3.320000000000000000e+02,1.000000000000000000e+00,3.570000000000000000e+02,3.950000000000000000e+02,3.000000000000000000e+00,4.060000000000000000e+02
3.900000000000000000e+02,3.270000000000000000e+02,3.960000000000000000e+02,3.870000000000000000e+02,1.740000000000000000e+02,3.840000000000000000e+02
